name,deviation,min_angle,max_angle,num_steiner
simple-polygon-exterior-20_10_15783346,10.1141,7.82024,109.73,336
simple-polygon-exterior-20_10_46c44a43,9.67073,10.8074,104.926,311
simple-polygon-exterior-20_10_6fbd9669,10.2581,11.1645,129.223,251
simple-polygon-exterior-20_10_868921c7,11.0607,4.17692,111.322,329
simple-polygon-exterior-20_10_8c4306da,14.3379,1.98851,118.471,354
simple-polygon-exterior-20_10_c6728228,10.6129,9.1338,113.307,323
simple-polygon-exterior-20_10_ce9152de,10.7131,4.82412,117.635,268
simple-polygon-exterior-20_20_0f96fb2c,11.8776,1.46234,116.365,536
simple-polygon-exterior-20_20_1e719235,10.2721,8.27859,114.122,430
simple-polygon-exterior-20_20_4ddfa00e,11.3846,4.41361,111.702,387
simple-polygon-exterior-20_20_52abeef5,11.0548,9.57544,115.902,311
simple-polygon-exterior-20_20_c27f41dd,11.1076,3.14146,114.981,375
simple-polygon-exterior-20_20_e64ff8fc,12.0737,5.52791,117.974,354
simple-polygon-exterior-20_20_eb63a5b6,10.9798,5.46543,119.039,394
simple-polygon-exterior-20_40_317d3f6d,10.4831,6.00901,116.11,437
simple-polygon-exterior-20_40_5faf6985,11.3433,2.60256,118.564,465
simple-polygon-exterior-20_40_65de7236,11.941,1.83883,117.173,575
simple-polygon-exterior-20_40_8ad14096,11.1386,5.70767,113.773,396
simple-polygon-exterior-20_40_b9ab4f03,11.4258,4.85737,115.051,413
simple-polygon-exterior-20_60_28a85662,12.2358,5.16419,137.891,436
simple-polygon-exterior-20_60_53ad6d23,12.1436,2.40597,115.93,504
simple-polygon-exterior-20_60_57cd1db6,14.5287,1.28304,127.397,453
simple-polygon-exterior-20_60_8221c868,12.3738,1.64267,119.482,558
simple-polygon-exterior-20_60_e6f13145,12.3749,4.22438,122.797,570
simple-polygon-exterior-20_80_1c5fcde7,11.8062,8.20611,119.634,398
simple-polygon-exterior-20_80_889602ae,13.1601,6.6945,122.291,440
simple-polygon-exterior-20_80_f6e462fb,12.2658,7.79145,129.9,401
simple-polygon-exterior-20_100_512f0fc4,12.5144,2.60256,122.332,488
simple-polygon-exterior-20_100_7ed1ca87,14.991,0.792553,149.621,825
simple-polygon-exterior-20_100_8bfbe418,13.7472,5.54774,117.66,504
simple-polygon-exterior-20_100_8d1c2e30,12.865,2.60256,147.381,498
simple-polygon-exterior-20_100_8ff7a64d,14.4405,0.332069,129.279,851
simple-polygon-exterior-20_100_c256488f,13.6104,2.8106,123.893,517
simple-polygon-exterior-20_150_7768dd44,14.2764,1.39244,125.518,748
simple-polygon-exterior-20_250_0c9fa44e,15.3827,3.52023,136.643,528
simple-polygon-exterior-20_250_4441b4ca,15.4053,6.00901,128.276,628
simple-polygon-exterior-20_250_823ed1ae,16.0237,1.04939,128.07,546
simple-polygon-exterior-20_250_eb5ab92f,15.025,0.868051,131.148,724